Street_ID,Street_Name,Error_Type
34,"SN 962A, Phan Keá Bính",lỗi font
35,"SN 100/69, Ngỗ Gia Tứ",lỗi sai chính tả
35,"SN 194/61C, Ngô Gia Tự",lỗi thiếu từ + đổi thứ tự các từ
35,"SN 201/64B, Không xác định Ngô Gia Tự",lỗi thêm từ gây nhiễu
35,"SN 256, Phường Ngồ Gia Tứ",lỗi sai chính tả + thêm từ gây nhiễu
35,"SN 271A, Ngô Gia Tự",không lỗi
35,"SN 372B, Gia Tứ",lỗi sai chính tả + thiếu từ
35,"SN 502/95, Ngô Gia Tự",không lỗi
35,"SN 632B, Ngoâ Gia Töï",lỗi font
35,"SN 651B, Ngô Gia ựT",lỗi đổi thứ tự các từ
35,"SN 865/11A, Ngô Gia",lỗi thiếu từ
35,"SN 892B, Ngô Gia ựT",lỗi sai chính tả + đổi thứ tự các từ
36,"SN 141, Phan Xích Long",không lỗi
36,"SN 186/23A, Phan Xích Logn",lỗi sai chính tả + đổi thứ tự các từ
36,"SN 231B, Phan Xích Long",lỗi font
36,"SN 236/44A, Phan Xích Long",không lỗi
36,"SN 252B, Phan Xích oLng",lỗi đổi thứ tự các từ
36,"SN 429/39B, Phan Xích Long",lỗi thiếu từ + đổi thứ tự các từ
36,"SN 437/32, Xích Long",lỗi thiếu từ
36,"SN 499/66C, Phan Xịch Long",lỗi sai chính tả
36,"SN 553/25, Xỉch Long",lỗi sai chính tả + thiếu từ
36,"SN 814/39C, Không xác định Phan Xích Long",lỗi thêm từ gây nhiễu
36,"SN 831/15A, CSH Phan Xìch Long",lỗi sai chính tả + thêm từ gây nhiễu
37,"SN 124, Mai hTị Lựu",lỗi sai chính tả + đổi thứ tự các từ
37,"SN 129, Mai Thị Lựu",lỗi thiếu từ + đổi thứ tự các từ
37,"SN 12A, Hẻm Mai Thị Lựu",lỗi thêm từ gây nhiễu
37,"SN 217, Mai Thỉ Lưu",lỗi sai chính tả
37,"SN 230/57, Mai Lừu",lỗi sai chính tả + thiếu từ
37,"SN 267/56C, Mai Thò Löïu",lỗi font
37,"SN 279/37, Mai Thị",lỗi thiếu từ
37,"SN 337, Mai Thị Lựu",không lỗi
37,"SN 353, Mai Tịh Lựu",lỗi đổi thứ tự các từ
37,"SN 567C, Mai Thị Lựu",không lỗi
37,"SN 800A, Nhà 2 tầng Mai Thĩ Lừu",lỗi sai chính tả + thêm từ gây nhiễu
38,"SN 12, Không biết Phan Huy Ích",lỗi thêm từ gây nhiễu
38,"SN 185, Phan Huy cÍh",lỗi đổi thứ tự các từ
38,"SN 206/57C, Phan Huy Ích",không lỗi
38,"SN 432/41C, Phan Huy",lỗi sai chính tả + thiếu từ
38,"SN 594/18, Không xác định Phan Huy Ích",lỗi sai chính tả + thêm từ gây nhiễu
38,"SN 697/75C, Phan Huy Ích",lỗi font
38,"SN 728/41, Phan Huy Ích",không lỗi
38,"SN 763/71, Phan Huy",lỗi thiếu từ
38,"SN 769/30, Phan uHy Ích",lỗi sai chính tả + đổi thứ tự các từ
38,"SN 78/1C, Phan Huy Ích",lỗi sai chính tả
38,"SN 994/39C, Phan Huy Ích",lỗi thiếu từ + đổi thứ tự các từ
39,"SN 131, Hẻm Vù Tộng Phan",lỗi sai chính tả + thêm từ gây nhiễu
39,"SN 283/75B, Nhà trống Vũ Tông Phan",lỗi thêm từ gây nhiễu
39,"SN 419/18A, Vũ Tông hPan",lỗi sai chính tả + đổi thứ tự các từ
39,"SN 447, Vù Tổng Phan",lỗi sai chính tả
39,"SN 470, Vũ Tông Phan",không lỗi
39,"SN 747/6A, Vũ Tnôg Phan",lỗi đổi thứ tự các từ
39,"SN 811/33, Vũ Tông",lỗi thiếu từ
39,"SN 882/56, Vũ Tông Phan",lỗi thiếu từ + đổi thứ tự các từ
39,"SN 972/99C, Vuõ Toâng Phan",lỗi font
39,"SN 980/64A, Vù Tộng",lỗi sai chính tả + thiếu từ
39,"SN 981/93, Vũ Tông Phan",không lỗi
40,"SN 20/7B, Không biết Nguyễn Đình Chiểu",lỗi thêm từ gây nhiễu
40,"SN 244/43, Nguyển Chiều",lỗi sai chính tả + thiếu từ
40,"SN 29, Nguyễn Đìhn Chiểu",lỗi đổi thứ tự các từ
40,"SN 402, Nguyện Đính Chiều",lỗi sai chính tả
40,"SN 57/70B, Nguyễn Đình Chiểu",không lỗi
40,"SN 602/5C, Nguyeãn Ñình Chieåu",lỗi font
40,"SN 635, Nguyễn Đình Chiểu",không lỗi
40,"SN 842/82C, Ngyuễn Đình Chiểu",lỗi sai chính tả + đổi thứ tự các từ
40,"SN 871/95, Nguyễn Đình Chiểu",lỗi thiếu từ + đổi thứ tự các từ
40,"SN 891B, Đình Chiểu",lỗi thiếu từ
40,"SN 921/43, Không biết Nguyện Định Chiếu",lỗi sai chính tả + thêm từ gây nhiễu
41,"SN 124/51C, Nguyễn An Ninh",không lỗi
41,"SN 141B, Nguyễn Ninh",lỗi thiếu từ
41,"SN 456, Nguyến An",lỗi sai chính tả + thiếu từ
41,"SN 483/83, Hẻm Nguyễn An Ninh",lỗi thêm từ gây nhiễu
41,"SN 549/10A, Nguyễn An Ninh",lỗi thiếu từ + đổi thứ tự các từ
41,"SN 591/97, Nguyễn An Nnih",lỗi sai chính tả + đổi thứ tự các từ
41,"SN 629/33B, Nguynễ An Ninh",lỗi đổi thứ tự các từ
41,"SN 88, Nguyền An Ninh",lỗi sai chính tả
41,"SN 885/64, Nguyễn An Ninh",không lỗi
41,"SN 907B, Nguyeãn An Ninh",lỗi font
41,"SN 920/68B, Hẻm Nguyện An Ninh",lỗi sai chính tả + thêm từ gây nhiễu
42,"SN 131/93C, Nguyễn Hữu Tọh",lỗi đổi thứ tự các từ
42,"SN 15/74B, gNuyễn Hữu Thọ",lỗi sai chính tả + đổi thứ tự các từ
42,"SN 304/13, Nguyễn Hữu Thọ",không lỗi
42,"SN 413C, Nguyễn Hữu",lỗi thiếu từ
42,"SN 459, Nguyễn Hữu Thọ",không lỗi
42,"SN 547/32, Nguyến Hừu Thõ",lỗi sai chính tả
42,"SN 551/65, Nguyeãn Höõu Thoï",lỗi font
42,"SN 698/21A, Nguyễn Hữu Thọ",lỗi thiếu từ + đổi thứ tự các từ
42,"SN 71/54, Không xác định Nguyễn Hữu Thọ",lỗi thêm từ gây nhiễu
42,"SN 759, Hửu Thó",lỗi sai chính tả + thiếu từ
42,"SN 870/58C, CSH Nguyện Hửu Thỏ",lỗi sai chính tả + thêm từ gây nhiễu
43,"SN 104/15, Nguyễn Văn Linh",lỗi thiếu từ + đổi thứ tự các từ
43,"SN 264/65, Nguyễn Linh",lỗi thiếu từ
43,"SN 282C, Nguyễn Văn Linh",không lỗi
43,"SN 407, CSH Nguyễn Văn Linh",lỗi thêm từ gây nhiễu
43,"SN 409A, Không xác định Nguyến Văn Linh",lỗi sai chính tả + thêm từ gây nhiễu
43,"SN 425, Nguynễ Văn Linh",lỗi sai chính tả + đổi thứ tự các từ
43,"SN 501/87, Nguyeãn Vaên Linh",lỗi font
43,"SN 526/52, gNuyễn Văn Linh",lỗi đổi thứ tự các từ
43,"SN 664/19C, Nguyễn Văn Linh",không lỗi
43,"SN 881/95, Nguyên Văn Linh",lỗi sai chính tả
43,"SN 969/86C, Nguyến Linh",lỗi sai chính tả + thiếu từ
44,"SN 16/12, Đại Hành",lỗi thiếu từ
44,"SN 400/51, Lê Đại Hành",không lỗi
44,"SN 434/85B, Lề Đải Hạnh",lỗi sai chính tả
44,"SN 485, Ngõ Lê Đại Hành",lỗi thêm từ gây nhiễu
44,"SN 515, Lê Đại àHnh",lỗi sai chính tả + đổi thứ tự các từ
44,"SN 601C, Đài Hảnh",lỗi sai chính tả + thiếu từ
44,"SN 613A, Lê Đại Hành",không lỗi
44,"SN 652, Ấp Lệ Đái Hánh",lỗi sai chính tả + thêm từ gây nhiễu
44,"SN 798A, Lê Đại Hnàh",lỗi đổi thứ tự các từ
44,"SN 898/84, Lê Đại Hành",lỗi thiếu từ + đổi thứ tự các từ
44,"SN 997, Leâ Ñaïi Haønh",lỗi font
45,"SN 124/20, Lê Văn",lỗi thiếu từ
45,"SN 221, Leâ Vaên Löông",lỗi font
45,"SN 266/11, Lê Văn Lương",không lỗi
45,"SN 288/97A, Lê Văn Lương",lỗi thiếu từ + đổi thứ tự các từ
45,"SN 355, Lê Văn Lương",không lỗi
45,"SN 393/71B, Lê Văn ưLơng",lỗi sai chính tả + đổi thứ tự các từ
45,"SN 453, Nhà 2 tầng Lê Văn Lương",lỗi thêm từ gây nhiễu
45,"SN 502/13B, Lể Văn",lỗi sai chính tả + thiếu từ
45,"SN 621, Lệ Văn Lừỡng",lỗi sai chính tả
45,"SN 658/49, Không xác định Lề Văn Lửờng",lỗi sai chính tả + thêm từ gây nhiễu
45,"SN 934, Lê ăVn Lương",lỗi đổi thứ tự các từ
46,"SN 164A, Quang Bĩch",lỗi sai chính tả + thiếu từ
46,"SN 263/20, Nguyễn Quang Bích",không lỗi
46,"SN 436, Nguyễn Quang Bích",không lỗi
46,"SN 49, Nhà 2 tầng Nguyển Quang Bịch",lỗi sai chính tả + thêm từ gây nhiễu
46,"SN 490A, Nguyễn Quang Bích",lỗi thiếu từ + đổi thứ tự các từ
46,"SN 675/98, Nguyễn Quang íBch",lỗi sai chính tả + đổi thứ tự các từ
46,"SN 719/59, Quang Bích",lỗi thiếu từ
46,"SN 796/63C, Nguyên Quang Bìch",lỗi sai chính tả
46,"SN 811/21B, Nugyễn Quang Bích",lỗi đổi thứ tự các từ
46,"SN 895/66, Ấp Nguyễn Quang Bích",lỗi thêm từ gây nhiễu
46,"SN 945/63, Nguyeãn Quang Bích",lỗi font
47,"SN 183/40, Hoaøng Quoác Vieät",lỗi font
47,"SN 219, Hoảng Viểt",lỗi sai chính tả + thiếu từ
47,"SN 227, Hoàng Quốc Việt",không lỗi
47,"SN 419, Honàg Quốc Việt",lỗi sai chính tả + đổi thứ tự các từ
47,"SN 41C, Hoàng Quốc",lỗi thiếu từ
47,"SN 606A, Hoạng Quồc Viết",lỗi sai chính tả
47,"SN 610/95, Hoàng Quốc Việt",lỗi thiếu từ + đổi thứ tự các từ
47,"SN 620B, Nhà trống Hoàng Quốc Việt",lỗi thêm từ gây nhiễu
47,"SN 817/49, Hoàng Quốc Vitệ",lỗi đổi thứ tự các từ
47,"SN 849/40A, Nhà 2 tầng Hoãng Quồc Viễt",lỗi sai chính tả + thêm từ gây nhiễu
47,"SN 938/26C, Hoàng Quốc Việt",không lỗi
48,"SN 205/93A, Trân Cao Vần",lỗi sai chính tả
48,"SN 271/53C, Ấp Trân Cao Vận",lỗi sai chính tả + thêm từ gây nhiễu
48,"SN 286B, Trnầ Cao Vân",lỗi sai chính tả + đổi thứ tự các từ
48,"SN 337/55C, Trần Cao Vân",lỗi thiếu từ + đổi thứ tự các từ
48,"SN 443, Trần Cao Vân",không lỗi
48,"SN 452/27C, rTần Cao Vân",lỗi đổi thứ tự các từ
48,"SN 584, Trẫn Cao",lỗi sai chính tả + thiếu từ
48,"SN 673/69B, Cao Vân",lỗi thiếu từ
48,"SN 783/70A, Ngõ Trần Cao Vân",lỗi thêm từ gây nhiễu
48,"SN 896, Traàn Cao Vaân",lỗi font
48,"SN 976B, Trần Cao Vân",không lỗi
49,"SN 16/33B, Trần Qốuc Toản",lỗi đổi thứ tự các từ
49,"SN 20/80, Trần Quốc Toản",không lỗi
49,"SN 446/99, Trần Quốc Tảon",lỗi sai chính tả + đổi thứ tự các từ
49,"SN 488, Phường Trận Quộc Toạn",lỗi sai chính tả + thêm từ gây nhiễu
49,"SN 557, Trận Quỗc",lỗi sai chính tả + thiếu từ
49,"SN 641/86A, CSH Trần Quốc Toản",lỗi thêm từ gây nhiễu
49,"SN 681C, Trẫn Quộc Toàn",lỗi sai chính tả
49,"SN 70/73B, Quốc Toản",lỗi thiếu từ
49,"SN 778, Trần Quốc Toản",không lỗi
49,"SN 797A, Traàn Quoác Toaûn",lỗi font
49,"SN 99A, Trần Quốc Toản",lỗi thiếu từ + đổi thứ tự các từ
50,"SN 151, Phám Thàch",lỗi sai chính tả + thiếu từ
50,"SN 161B, Phaïm Ngoïc Thaïch",lỗi font
50,"SN 241/41, Hẻm Phảm Ngòc Thảch",lỗi sai chính tả + thêm từ gây nhiễu
50,"SN 353, Phạm Nọgc Thạch",lỗi sai chính tả + đổi thứ tự các từ
50,"SN 431B, Phạm Ngọc Thạch",không lỗi
50,"SN 451/21B, Phạm Ngọc Thạch",lỗi thiếu từ + đổi thứ tự các từ
50,"SN 566/29, Phàm Ngóc Thách",lỗi sai chính tả
50,"SN 594C, Phạm Ngọc",lỗi thiếu từ
50,"SN 755, Phạm Ngọc Thạch",không lỗi
50,"SN 883, Hẻm Phạm Ngọc Thạch",lỗi thêm từ gây nhiễu
50,"SN 898A, Phạm Ngọc hTạch",lỗi đổi thứ tự các từ
51,"SN 132, Trương Công ịĐnh",lỗi sai chính tả + đổi thứ tự các từ
51,"SN 17746, Tröông Coâng Ñònh",lỗi font
51,"SN 211/79, Nhà trống Trửớng Cỗng Đình",lỗi sai chính tả + thêm từ gây nhiễu
51,"SN 214/76A, Trương Công Định",lỗi thiếu từ + đổi thứ tự các từ
51,"SN 224B, Trửỡng Cộng Đỉnh",lỗi sai chính tả
51,"SN 29/40, Hẻm Trương Công Định",lỗi thêm từ gây nhiễu
51,"SN 334B, Trữớng Đĩnh",lỗi sai chính tả + thiếu từ
51,"SN 509/14A, Trương Công Định",không lỗi
51,"SN 846/7, Trơưng Công Định",lỗi đổi thứ tự các từ
51,"SN 959/37, Trương Công Định",không lỗi
51,"SN 99/9, Trương Định",lỗi thiếu từ
52,"SN 223B, Nguyển Thõ",lỗi sai chính tả + thiếu từ
52,"SN 256/16, Nguyễn Thọ",lỗi thiếu từ
52,"SN 299/36A, Nguyễn Hữu Thọ",lỗi thiếu từ + đổi thứ tự các từ
52,"SN 308, Không xác định Nguyễn Hữu Thọ",lỗi thêm từ gây nhiễu
52,"SN 400/15C, Nguyện Hứu Thò",lỗi sai chính tả
52,"SN 482B, Nguyeãn Höõu Thoï",lỗi font
52,"SN 548/59B, Nguyễn Huữ Thọ",lỗi đổi thứ tự các từ
52,"SN 745, Nguyễn Hữu Thọ",không lỗi
52,"SN 785/84C, CSH Nguyển Hưu Thõ",lỗi sai chính tả + thêm từ gây nhiễu
52,"SN 806, Nguyễn Hữu Thọ",không lỗi
52,"SN 903/95B, Nguyễn ữHu Thọ",lỗi sai chính tả + đổi thứ tự các từ
53,"SN 12/68C, Ngõ Trẫn Xuẩn Soàn",lỗi sai chính tả + thêm từ gây nhiễu
53,"SN 140/80A, Ngõ Trần Xuân Soạn",lỗi thêm từ gây nhiễu
53,"SN 156, rTần Xuân Soạn",lỗi đổi thứ tự các từ
53,"SN 178/74, Trần Xuân Soạn",không lỗi
53,"SN 413/39, Trân Xuẫn Soãn",lỗi sai chính tả
53,"SN 455, Trần Xuân Soạn",lỗi thiếu từ + đổi thứ tự các từ
53,"SN 71B, Traàn Xuaân Soaïn",lỗi font
53,"SN 746/88A, Trần Xuân Sạon",lỗi sai chính tả + đổi thứ tự các từ
53,"SN 754/5C, Trần Xuân",lỗi thiếu từ
53,"SN 807B, Trần Xuân Soạn",không lỗi
53,"SN 945B, Trân Xuấn",lỗi sai chính tả + thiếu từ
54,"SN 166C, Nguyễn Hiền",lỗi thiếu từ
54,"SN 206/9, Nguyễn Thượng Hiền",không lỗi
54,"SN 248A, Nguyeãn Thöôïng Hieàn",lỗi font
54,"SN 261C, Nguyễn Thượng Hiền",lỗi thiếu từ + đổi thứ tự các từ
54,"SN 356/91C, Nguynễ Thượng Hiền",lỗi đổi thứ tự các từ
54,"SN 38, Không biết Nguyễn Thượng Hiền",lỗi thêm từ gây nhiễu
54,"SN 428C, Nguyên Thừỡng Hiên",lỗi sai chính tả
54,"SN 525, Ngyuễn Thượng Hiền",lỗi sai chính tả + đổi thứ tự các từ
54,"SN 587, Nguyện Thửơng",lỗi sai chính tả + thiếu từ
54,"SN 674/84C, Nguyễn Thượng Hiền",không lỗi
54,"SN 756, CSH Nguyển Thựởng Hiển",lỗi sai chính tả + thêm từ gây nhiễu
55,"SN 120, Phan Trì",lỗi sai chính tả + thiếu từ
55,"SN 221/92C, Phna Văn Trị",lỗi đổi thứ tự các từ
55,"SN 240/33C, Phan Trị",lỗi thiếu từ
55,"SN 34, Phan Văn Trị",lỗi thiếu từ + đổi thứ tự các từ
55,"SN 426/56A, Phường Phan Văn Trị",lỗi thêm từ gây nhiễu
55,"SN 429/4, Phan Vaên Trò",lỗi font
55,"SN 460/49, Hẻm Phan Văn Trỉ",lỗi sai chính tả + thêm từ gây nhiễu
55,"SN 57/24B, Phan Văn Trị",không lỗi
55,"SN 668, Phan Văn rTị",lỗi sai chính tả + đổi thứ tự các từ
55,"SN 893/75, Phan Văn Trí",lỗi sai chính tả
55,"SN 921A, Phan Văn Trị",không lỗi
56,"SN 176B, Nguyện Văn Thoãi",lỗi sai chính tả
56,"SN 204/55B, Nguyễn ăVn Thoại",lỗi đổi thứ tự các từ
56,"SN 265/9, Nguyễn Văn Thoại",không lỗi
56,"SN 331/52C, Phố Nguyện Văn Thoài",lỗi sai chính tả + thêm từ gây nhiễu
56,"SN 356, Nguyễn Văn Thoại",lỗi thiếu từ + đổi thứ tự các từ
56,"SN 377/34, Nguyeãn Vaên Thoaïi",lỗi font
56,"SN 393, Phố Nguyễn Văn Thoại",lỗi thêm từ gây nhiễu
56,"SN 563, Nguyễn Văn Thoại",không lỗi
56,"SN 609/65A, Nguyễn Thoại",lỗi thiếu từ
56,"SN 737, Nguyến Văn",lỗi sai chính tả + thiếu từ
56,"SN 972/83, Nguyễn Vnă Thoại",lỗi sai chính tả + đổi thứ tự các từ
57,"SN 186B, Nguyễn Kmi Hồng",lỗi sai chính tả + đổi thứ tự các từ
57,"SN 304C, Nguyễn iKm Hồng",lỗi đổi thứ tự các từ
57,"SN 45469, Nguyển Kim",lỗi sai chính tả + thiếu từ
57,"SN 490, Nguyeãn Kim Hoàng",lỗi font
57,"SN 516, Hẻm Nguyện Kim Hống",lỗi sai chính tả + thêm từ gây nhiễu
57,"SN 541B, Nguyền Kim Hổng",lỗi sai chính tả
57,"SN 615, Nguyễn Kim Hồng",lỗi thiếu từ + đổi thứ tự các từ
57,"SN 680/70B, Kim Hồng",lỗi thiếu từ
57,"SN 822/73A, Nguyễn Kim Hồng",không lỗi
57,"SN 976/76A, Nguyễn Kim Hồng",không lỗi
57,"SN 993/70C, CSH Nguyễn Kim Hồng",lỗi thêm từ gây nhiễu
58,"SN 150/22, Ngõ Lê Trọng Tấn",lỗi thêm từ gây nhiễu
58,"SN 224/67A, Lề Trõng Tần",lỗi sai chính tả
58,"SN 251, Leâ Troïng Taán",lỗi font
58,"SN 316/51, Lê Trọng Tấn",lỗi thiếu từ + đổi thứ tự các từ
58,"SN 462B, Lê Trọng Tnấ",lỗi đổi thứ tự các từ
58,"SN 591B, CSH Lệ Tróng Tẫn",lỗi sai chính tả + thêm từ gây nhiễu
58,"SN 633/38, êL Trọng Tấn",lỗi sai chính tả + đổi thứ tự các từ
58,"SN 902, Lê Tấn",lỗi thiếu từ
58,"SN 951, Lê Trọng Tấn",không lỗi
58,"SN 981/6, Lê Trọng Tấn",không lỗi
58,"SN 997, Trõng Tân",lỗi sai chính tả + thiếu từ
59,"SN 160C, Huỳnh Tnấ Phát",lỗi đổi thứ tự các từ
59,"SN 177A, Hỳunh Tấn Phát",lỗi sai chính tả + đổi thứ tự các từ
59,"SN 194B, Huỳnh Tấn Phát",không lỗi
59,"SN 286, Tấn Phát",lỗi thiếu từ
59,"SN 439/86, Huỹnh Tần Phảt",lỗi sai chính tả
59,"SN 489, Hẻm Huỹnh Tân Phạt",lỗi sai chính tả + thêm từ gây nhiễu
59,"SN 50/68B, Huỳnh Tấn Phát",lỗi thiếu từ + đổi thứ tự các từ
59,"SN 739B, Phường Huỳnh Tấn Phát",lỗi thêm từ gây nhiễu
59,"SN 781/1C, Tân Phãt",lỗi sai chính tả + thiếu từ
59,"SN 901C, Huỳnh Tấn Phát",không lỗi
59,"SN 961, Huyønh Taán Phaùt",lỗi font
60,"SN 161B, Ngô Tất Tố",lỗi thiếu từ + đổi thứ tự các từ
60,"SN 194C, Không xác định Ngồ Tẫt Tổ",lỗi sai chính tả + thêm từ gây nhiễu
60,"SN 267B, Ngỗ Tât Tộ",lỗi sai chính tả
60,"SN 341/80B, Không xác định Ngô Tất Tố",lỗi thêm từ gây nhiễu
60,"SN 474C, Ngô Tố",lỗi thiếu từ
60,"SN 554/90C, Tẩt Tô",lỗi sai chính tả + thiếu từ
60,"SN 7/52A, Ngô Tất Tố",không lỗi
60,"SN 734A, Ngô Tất ốT",lỗi sai chính tả + đổi thứ tự các từ
60,"SN 736B, Ngoâ Taát Toá",lỗi font
60,"SN 896/98, Ngô Tất ốT",lỗi đổi thứ tự các từ
60,"SN 927B, Ngô Tất Tố",không lỗi
61,"SN 225, Không xác định Nguyển Văn Cồng",lỗi sai chính tả + thêm từ gây nhiễu
61,"SN 362C, Nguễyn Văn Công",lỗi sai chính tả + đổi thứ tự các từ
61,"SN 399B, Nguyễn Văn",lỗi thiếu từ
61,"SN 436/85, Nguyễn Văn Công",không lỗi
61,"SN 463, Ngõ Nguyễn Văn Công",lỗi thêm từ gây nhiễu
61,"SN 493/85B, Nguyện Văn Cộng",lỗi sai chính tả
61,"SN 60A, Nguyễn Văn Công",không lỗi
61,"SN 615/83, Văn Cồng",lỗi sai chính tả + thiếu từ
61,"SN 765A, Nguyeãn Vaên Coâng",lỗi font
61,"SN 942/90, Nguyễn Văn Công",lỗi thiếu từ + đổi thứ tự các từ
61,"SN 999/32B, Nguyễn Văn ôCng",lỗi đổi thứ tự các từ
62,"SN 140/50A, Đinh Bộ Lĩnh",lỗi thiếu từ + đổi thứ tự các từ
62,"SN 253, Ngõ Đinh Bộ Lĩnh",lỗi thêm từ gây nhiễu
62,"SN 39, Bô Lỉnh",lỗi sai chính tả + thiếu từ
62,"SN 515A, iĐnh Bộ Lĩnh",lỗi đổi thứ tự các từ
62,"SN 518C, Đinh Bỗ Lỉnh",lỗi sai chính tả
62,"SN 593/97C, Đinh Lĩnh",lỗi thiếu từ
62,"SN 621/23C, Đinh Bộ Lĩnh",không lỗi
62,"SN 649B, Ngõ Đinh Bồ Lính",lỗi sai chính tả + thêm từ gây nhiễu
62,"SN 703, Ñinh Boä Lónh",lỗi font
62,"SN 890A, Đinh Bộ Lĩnh",không lỗi
62,"SN 970/9C, Đinh ộB Lĩnh",lỗi sai chính tả + đổi thứ tự các từ
63,"SN 198C, Phan Thanh Giản",không lỗi
63,"SN 226, Pahn Thanh Giản",lỗi sai chính tả + đổi thứ tự các từ
63,"SN 262A, Nhà 2 tầng Phan Thanh Giản",lỗi thêm từ gây nhiễu
63,"SN 369, Phan Thanh Giản",không lỗi
63,"SN 405/2A, Phan Gián",lỗi sai chính tả + thiếu từ
63,"SN 505, Phan Thanh",lỗi thiếu từ
63,"SN 52/27A, Phan Thanh Giản",lỗi thiếu từ + đổi thứ tự các từ
63,"SN 57/61A, Phan Thanh Giạn",lỗi sai chính tả
63,"SN 597/82, Nhà 2 tầng Phan Thanh Giãn",lỗi sai chính tả + thêm từ gây nhiễu
63,"SN 753, Phan Thanh Giaûn",lỗi font
63,"SN 77/52B, hPan Thanh Giản",lỗi đổi thứ tự các từ
64,"SN 119, Huyønh Tònh Cuûa",lỗi font
64,"SN 158/20, Huỳnh Tịnh",lỗi thiếu từ
64,"SN 342/51B, CSH Huỷnh Tĩnh Cụa",lỗi sai chính tả + thêm từ gây nhiễu
64,"SN 527, Huýnh Tỉnh Cụa",lỗi sai chính tả
64,"SN 591/58B, Huỳnh Tịnh ủCa",lỗi đổi thứ tự các từ
64,"SN 63, Huỳnh Tịnh Của",không lỗi
64,"SN 634/6C, Huỳnh Tịnh ủCa",lỗi sai chính tả + đổi thứ tự các từ
64,"SN 751, Huỳnh Tịnh Của",không lỗi
64,"SN 779, Không xác định Huỳnh Tịnh Của",lỗi thêm từ gây nhiễu
64,"SN 906, Huỵnh Tĩnh",lỗi sai chính tả + thiếu từ
64,"SN 913/88C, Huỳnh Tịnh Của",lỗi thiếu từ + đổi thứ tự các từ
65,"SN 160/62C, Nguyễn Thị Định",không lỗi
65,"SN 197A, Nguyễn Thị Định",lỗi thiếu từ + đổi thứ tự các từ
65,"SN 20/25, Nguyễn Định",lỗi thiếu từ
65,"SN 310/59B, Phố Nguyền Thỉ Đình",lỗi sai chính tả + thêm từ gây nhiễu
65,"SN 449/41B, gNuyễn Thị Định",lỗi đổi thứ tự các từ
65,"SN 610/3B, Nguyễn Tịh Định",lỗi sai chính tả + đổi thứ tự các từ
65,"SN 788, Nguyeãn Thò Ñònh",lỗi font
65,"SN 806/51, Thì Đỉnh",lỗi sai chính tả + thiếu từ
65,"SN 880, Nguyền Thỉ Đỉnh",lỗi sai chính tả
65,"SN 968/72, Nhà 2 tầng Nguyễn Thị Định",lỗi thêm từ gây nhiễu
65,"SN 987/98, Nguyễn Thị Định",không lỗi
66,"SN 245C, Vỏ Văn Kiềt",lỗi sai chính tả
66,"SN 306, Võ Văn Kiệt",không lỗi
66,"SN 356/28C, Vọ Kiết",lỗi sai chính tả + thiếu từ
66,"SN 714, Phường Vỏ Văn Kiêt",lỗi sai chính tả + thêm từ gây nhiễu
66,"SN 843, Võ Văn",lỗi thiếu từ
66,"SN 861/90, Voõ Vaên Kieät",lỗi font
66,"SN 868A, Võ Văn Kiệt",không lỗi
66,"SN 87/45, Võ ăVn Kiệt",lỗi sai chính tả + đổi thứ tự các từ
66,"SN 958, Võ Vnă Kiệt",lỗi đổi thứ tự các từ
66,"SN 968/94, Nhà trống Võ Văn Kiệt",lỗi thêm từ gây nhiễu
66,"SN 995, Võ Văn Kiệt",lỗi thiếu từ + đổi thứ tự các từ
67,"SN 243/85C, Nhà 2 tầng Trần Văn Đang",lỗi thêm từ gây nhiễu
67,"SN 323/73B, Trận Đang",lỗi sai chính tả + thiếu từ
67,"SN 52/5B, Traàn Vaên Ñang",lỗi font
67,"SN 530, Trần Văn Đagn",lỗi sai chính tả + đổi thứ tự các từ
67,"SN 608, Trần Đang",lỗi thiếu từ
67,"SN 617, Trần Văn Đang",không lỗi
67,"SN 790B, Trận Văn Đang",lỗi sai chính tả
67,"SN 797/61, Trần Văn Đang",không lỗi
67,"SN 79C, Trần Vnă Đang",lỗi đổi thứ tự các từ
67,"SN 883/84B, Trần Văn Đang",lỗi thiếu từ + đổi thứ tự các từ
67,"SN 97, Ấp Trẫn Văn Đang",lỗi sai chính tả + thêm từ gây nhiễu
68,"SN 286/55, CSH Nguyễn Văn Luông",lỗi thêm từ gây nhiễu
68,"SN 369/68, Nguyễn Văn Luông",không lỗi
68,"SN 427B, Nguyễn Văn Luông",lỗi thiếu từ + đổi thứ tự các từ
68,"SN 709/69A, Ngyuễn Văn Luông",lỗi sai chính tả + đổi thứ tự các từ
68,"SN 788, Nguyễn Văn",lỗi thiếu từ
68,"SN 792/29B, Ấp Nguyền Văn Luỗng",lỗi sai chính tả + thêm từ gây nhiễu
68,"SN 899C, Nguyễn Văn Luông",không lỗi
68,"SN 91/32, Nguyên Văn",lỗi sai chính tả + thiếu từ
68,"SN 935, Nguyện Văn Luỗng",lỗi sai chính tả
68,"SN 959/62, Nguyeãn Vaên Luoâng",lỗi font
68,"SN 961/55B, gNuyễn Văn Luông",lỗi đổi thứ tự các từ
69,"SN 120/78, Bùi Thị Xuân",không lỗi
69,"SN 22, Bũi Xuận",lỗi sai chính tả + thiếu từ
